2, 1024, 8
cudaMalloc Execution time: 1 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
default malloc-free test PASSED
1930 , 0x206960a60
1931 , 0x206960a80
1932 , 0x206960aa0
1933 , 0x206960ac0
1934 , 0x206960ae0
1935 , 0x206960b00
1936 , 0x206960b20
1937 , 0x206960b40
1938 , 0x206960b60
1939 , 0x206960b80
1940 , 0x206960ba0
1941 , 0x206960bc0
1942 , 0x206960be0
1943 , 0x206960c00
1944 , 0x206960c20
1945 , 0x206960c40
1946 , 0x206960c60
1947 , 0x206960c80
1948 , 0x206960ca0
1949 , 0x206960cc0
1950 , 0x206960ce0
1951 , 0x206960d00
2016 , 0x206961520
2017 , 0x206961540
2018 , 0x206961560
2019 , 0x206961580
2020 , 0x2069615a0
2021 , 0x2069615c0
2022 , 0x2069615e0
2023 , 0x206961600
2024 , 0x206961620
2025 , 0x206961640
2026 , 0x206961660
2027 , 0x206961680
2028 , 0x2069616a0
2029 , 0x2069616c0
2030 , 0x2069616e0
2031 , 0x206961700
2032 , 0x206961720
2033 , 0x206961740
2034 , 0x206961760
2035 , 0x206961780
2036 , 0x2069617a0
2037 , 0x2069617c0
2038 , 0x2069617e0
2039 , 0x206961800
2040 , 0x206961820
2041 , 0x206961840
2042 , 0x206961860
2043 , 0x206961880
2044 , 0x2069618a0
2045 , 0x2069618c0
2046 , 0x2069618e0
2047 , 0x206961900
1824 , 0x20695fd20
1825 , 0x20695fd40
1826 , 0x20695fd60
1827 , 0x20695fd80
1828 , 0x20695fda0
1829 , 0x20695fdc0
1830 , 0x20695fde0
1831 , 0x20695fe00
1832 , 0x20695fe20
1833 , 0x20695fe40
1834 , 0x20695fe60
1835 , 0x20695fe80
1836 , 0x20695fea0
1837 , 0x20695fec0
1838 , 0x20695fee0
1839 , 0x20695ff00
1840 , 0x20695ff20
1841 , 0x20695ff40
1842 , 0x20695ff60
1843 , 0x20695ff80
1844 , 0x20695ffa0
1845 , 0x20695ffc0
1846 , 0x20695ffe0
1847 , 0x206960000
1848 , 0x206960020
1849 , 0x206960040
1850 , 0x206960060
1851 , 0x206960080
1852 , 0x2069600a0
1853 , 0x2069600c0
1854 , 0x2069600e0
1855 , 0x206960100
384 , 0x206954920
385 , 0x206954940
386 , 0x206954960
387 , 0x206954980
388 , 0x2069549a0
389 , 0x2069549c0
390 , 0x2069549e0
391 , 0x206954a00
392 , 0x206954a20
393 , 0x206954a40
394 , 0x206954a60
395 , 0x206954a80
396 , 0x206954aa0
397 , 0x206954ac0
398 , 0x206954ae0
399 , 0x206954b00
400 , 0x206954b20
401 , 0x206954b40
402 , 0x206954b60
403 , 0x206954b80
404 , 0x206954ba0
405 , 0x206954bc0
406 , 0x206954be0
407 , 0x206954c00
408 , 0x206954c20
409 , 0x206954c40
410 , 0x206954c60
411 , 0x206954c80
412 , 0x206954ca0
413 , 0x206954cc0
